user_id,interest
2,programming
2,artificial intelligence
2,machine learning
2,algorithms
3,entrepreneurship
3,marketing
3,finance
3,business strategy
4,database systems
4,programming languages
4,computer networks
4,artificial intelligence
5,renewable energy
5,sustainable engineering
5,environmental science
6,graphic design
6,user interface design
6,typography
6,digital art
7,neuroscience
7,cardiology
7,medical research
8,entrepreneurship
8,business management
8,leadership
8,economics
9,quantum physics
9,theoretical physics
9,mathematics
10,creative writing
10,poetry
10,literature analysis
10,world literature
